Taille,Test,CPU,Mem,Action,Structure
1614500,4,5.05,132140,getValue_middle,linkedlist
1614500,4,0.85,109720,getValue_middle,vector
946900,4,0.36,70724,getValue_last,arraylist
946900,4,3.25,105824,getValue_last,linkedlist
946900,4,0.32,66216,getValue_last,vector
2811300,5,1.47,164980,insert,arraylist
2811300,5,16.12,234536,insert,linkedlist
2811300,5,1.45,159044,insert,vector
2117400,5,1.27,136652,removeValue_first,arraylist
2117400,5,6.65,169776,removeValue_first,linkedlist
2117400,5,1.07,126296,removeValue_first,vector
1346100,5,0.48,89352,removeValue_middle,arraylist
1346100,5,4.08,114368,removeValue_middle,linkedlist
1346100,5,0.46,85116,removeValue_middle,vector
1152400,5,0.41,72556,removeValue_last,arraylist
1152400,5,4.00,114600,removeValue_last,linkedlist
1152400,5,0.37,70232,removeValue_last,vector
3004100,5,1.40,165404,changeValue_first,arraylist
3004100,5,15.89,234540,changeValue_first,linkedlist
3004100,5,1.47,158380,changeValue_first,vector
2288400,5,1.22,136748,changeValue_middle,arraylist
2288400,5,6.20,173652,changeValue_middle,linkedlist
2288400,5,1.07,119992,changeValue_middle,vector
2997500,5,1.46,159164,changeValue_last,arraylist
2997500,5,16.97,230640,changeValue_last,linkedlist
2997500,5,1.35,154764,changeValue_last,vector
1528700,5,0.87,109972,getValue_first,arraylist
1528700,5,5.25,128356,getValue_first,linkedlist
1528700,5,0.83,113708,getValue_first,vector
1101900,5,0.37,76588,getValue_middle,arraylist
1101900,5,3.86,117792,getValue_middle,linkedlist
1101900,5,0.35,68744,getValue_middle,vector
118400,5,0.19,41284,getValue_last,arraylist
118400,5,0.25,41532,getValue_last,linkedlist
118400,5,0.22,45664,getValue_last,vector
1569900,6,0.92,114152,insert,arraylist
1569900,6,5.46,128288,insert,linkedlist
1569900,6,0.98,113972,insert,vector
1821800,6,1.02,113472,removeValue_first,arraylist
1821800,6,6.73,155532,removeValue_first,linkedlist
1821800,6,0.92,113564,removeValue_first,vector
1590800,6,0.91,110244,removeValue_middle,arraylist
1590800,6,5.23,131548,removeValue_middle,linkedlist
1590800,6,0.80,109820,removeValue_middle,vector
1938600,6,0.90,120188,removeValue_last,arraylist
